scenario_id,scenario_name,model_projection_date,target,target_end_date,quantile,type,location,value,age_group
B-2022-11-15,highVE_pesImm,2022-11-15,5 wk ahead peak time hosp,2022-12-17,NA,point,06,0.95,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,6 wk ahead peak time hosp,2022-12-24,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,7 wk ahead peak time hosp,2022-12-31,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,8 wk ahead peak time hosp,2023-01-07,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,9 wk ahead peak time hosp,2023-01-14,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,10 wk ahead peak time hosp,2023-01-21,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,11 wk ahead peak time hosp,2023-01-28,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,12 wk ahead peak time hosp,2023-02-04,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,13 wk ahead peak time hosp,2023-02-11,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,14 wk ahead peak time hosp,2023-02-18,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,15 wk ahead peak time hosp,2023-02-25,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,16 wk ahead peak time hosp,2023-03-04,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,17 wk ahead peak time hosp,2023-03-11,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,18 wk ahead peak time hosp,2023-03-18,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,19 wk ahead peak time hosp,2023-03-25,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,20 wk ahead peak time hosp,2023-04-01,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,21 wk ahead peak time hosp,2023-04-08,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,22 wk ahead peak time hosp,2023-04-15,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,23 wk ahead peak time hosp,2023-04-22,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,24 wk ahead peak time hosp,2023-04-29,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,25 wk ahead peak time hosp,2023-05-06,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,26 wk ahead peak time hosp,2023-05-13,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,27 wk ahead peak time hosp,2023-05-20,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,28 wk ahead peak time hosp,2023-05-27,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,29 wk ahead peak time hosp,2023-06-03,NA,point,06,1,0-4
B-2022-11-15,highVE_pesImm,2022-11-15,1 wk ahead peak time hosp,2022-11-19,NA,point,06,0,18-49
B-2022-11-15,highVE_pesImm,2022-11-15,2 wk ahead peak time hosp,2022-11-26,NA,point,06,0,18-49
B-2022-11-15,highVE_pesImm,2022-11-15,3 wk ahead peak time hosp,2022-12-03,NA,point,06,0,18-49
